,82007,80079,82004,95913,82273,82006,30004,82275,82005,82211,82210,80045,80085,80086,82279,80046,82000,95101,95486,82420,82477,82432,82460,96786,82410,82480,82009,80053,30003,82001,40002,82516,80020,82514,83574,83530,84573,82153,80042,83573,84510,80010,80033,83571,83320,84574,80023,83460,80057,83472,82799,83431,84410,83450,80620,82559,85220,85210,84210,83513,85701,40007,85449,95273,86220,85420,82873,85412,86472,83411,82276,86231,82798,82775,82234,87270,84240,87470,80113,80560,86510,87410,89475,87412,87421,89440,89476,89478,89477,84450,90514,88510,89522,91511,90581,91514,89512,91523,90574,90580,90522,91409,90876,92510,85571,92411,86520,88571,92509,86540,89221,88110,90214,93242,91210,89272,87230,92207,86240,92409,89730,93410,93411,93424,92407,90869,94539,95549,94511,94558,93525,95208,92211,89214,94204,93225,94233,94545,95422,91734,91470,95436,96441,94450,94426,89410,95458,94415,96411,97400,94408,98213,98218,98233,94706,97202,96224,93240,98420,85620,90660,95409,99222,89142,99210,95235,96723,98538,99534,95518,99507,95557,98533,96503,99433,91803,99408,97404,97515,99543,70414,90419,70410,70427,96468,91465,98455,70408,95114,98264,70240,90025,70224,71202,95710,71419,71432,71412,70834,73732,72456,95835,72466,99229,73123,97644,70117,95712,99245,92202,73209,97219,72220,98259,96465,73231,73241,74430,92906,73409,74465,70425,95657,73213,75266,96307,75441,74402,71504,77463,72860,73339,76290,72742,72214,76249,75258,98540,77248,98808,71552,77564,73563,77532,71564,74540,70553,78595,71562,71565,73513,97351,72443,72447,97103,96722,72427,74206,73136,70122,78454,75566,79231,74223,71260,79544,73543,78548,77623,72606,79608,71207,78629,93607,70646,74163,96610,73602,70612,96616,74103,92304,77242,76232,73248,78513,76313,76562,79402,78467,70756,78603,72559,73632,60605,72546,76536,79530,79465,74215,78224,75334,76267,79240,71815,76509,60523,79456,79459,78288,62242,61363,79300,78168,73342,71347,75125,73606,77243,76325,74339,79365,96761,70312,76368,74158,61104,63450,64302,79356,64440,62415,61404,63440,64300,64158,61353,76812,76849,71837,74846,65823,71842,75151,76802,77609,76869,61893,71857,71848,75847,72324,62332,65233,61204,79215,62931,63913,64914,62907,73306,62947,94629,78122,77454,62934,63920,78813,74358,62404,64499,62409,60456,64493,64699,63704,63636,65653,63722,62164,99606,72133,79109,61102,79113,64153,61186,65103,78217,65115,76100,78135,79192,63077,66306,64346,79130,63339,65898,79198,63963,60566,66244,79290,62234,67935,66968,61869,71184,67872,66838,63634,64868,76158,61591,67539,78566,67598,62556,62528,64596,66508,64944,67944,62244,66209,61208,75867,66203,67650,62864,74605,68345,67304,67341,62265,66606,62908,66354,65357,62356,62353,79334,61700,74729,68730,71752,62700,79705,76753,75808,68743,61554,62797,66706,64717,65399,62802,62884,63123,62895,63559,67207,69100,79150,69165,64984,69901,62025,65136,65207,78361,68330,66864,69804,69209,63257,50350,50365,64657,65586,50165,66108,50202,73113,68050,64166,67025,64906,64004,64007,64012,64006,50923,62925,66917,51203,64468,50204,63202,64213,51309,50357,68305,50312,63342,69102,68119,51100,50150,64407,50458,51463,64610,64793,63435,69418,78756,61197,64646,52630,64560,65610,52009,64504,51344,64340,52366,52348,51003,62558,67005,68106,51303,50820,51817,52806,50854,60558,67893,69813
이름,정혁진,윤동균,김유동,김우열,구천서,이홍범,유지훤,신경식,정종현,김경문,김광수,박종호,이근식,이근식,조범현,박찬,함학수,정현발,배대웅,이만수,오대석,박정환,장태수,손상득,김한근,허규옥,박영진,서정환,손상대,정구왕,천보성,김재상,김용희,김용철,한문연,박영태,홍문종,정영기,박용성,유두열,김민호,김성관,김한조,심재원,이광길,조성옥,김이수,장효조,송일수,홍승규,김근석,박승호,김성래,정진호,황규봉,이종도,이승희,김형석,김광림,김호근,도이석,박종훈,박창언,양승호,이복근,이종두,이해창,김용국,구윤,김동재,양세종,박노준,김대진,박상열,박철순,안대환,최일언,류중일,이홍식,최무영,김성현,김종갑,강기웅,김정수,이현택,최해명,강영수,강종필,나광남,정성룡,김종헌,김응국,이종운,전준호,공필성,박정태,김선일,김민재,안명호,유충돌,이동채,윤용하,정경훈,박계원,한영준,동봉철,이창원,고정식,강성우,최계영,이명수,김상호,김태형,김민호,이종민,곽연수,박현영,안경현,최동창,한기철,박선일,양준혁,정영규,강태윤,김태룡,박인구,김종훈,마해영,임수혁,손동일,조규철,정수근,장원진,김종석,심정수,이도형,김광현,박지철,김영진,양용모,신동주,이승엽,정경배,김한수,최익성,김상엽,김진삼,김태균,전병호,황성관,김실,캐세레스,김동주,우즈,전형도,진갑용,최기문,추성건,강동우,이순철,정회열,김재걸,홍성흔,최훈재,강혁,진필중,홍원기,손인호,호세,박현승,임재철,박종일,조경환,김대익,스미스,김기태,홀,송재익,이동욱,조성환,프랑코,김동수,김주찬,남기헌,이계성,전상렬,김수관,박정환,심재학,송원국,정원석,김호,강봉규,이대현,김승권,마르티네스,박한이,바에르가,브리또,고지행,손주인,심성보,조동찬,이승준,알칸트라,김창희,최경환,강인권,구자운,권명철,나주환,문희성,유재웅,이혜천,정성훈,백승훈,정재훈,로페즈,박종호,강명구,박석민,배영수,임창용,손시헌,윤승균,박진만,조영훈,이정식,신명철,채태인,이대수,이종욱,김현수,채상병,고영민,민병헌,금민철,김진수,오재원,윤재국,최준석,김민성,이인구,손광민,이대호,강민호,박기혁,가르시아,박종윤,이승화,정보명,최만호,최형우,권혁,손지환,심광호,현재윤,김재호,이성열,최승환,우동균,이원석,정수빈,용덕한,이재우,오장훈,박정준,장성우,최희섭,이현곤,안치홍,김원섭,나지완,이종범,김상현,이용규,장성호,차일목,김상훈,김종국,박기남,이재주,이두환,양의지,김승회,전준우,황재균,황성용,김상수,이영욱,이범호,김선빈,신종길,임준혁,홍재호,문규현,손용석,양종민,배영섭,윤석민,김재환,오재일,최주환,허경민,박준서,김문호,정훈,이지영,정형식,최재훈,윤명준,문우람,김지수,서건창,이택근,장기영,박병호,서동욱,허도환,강정호,유한준,박동원,송지만,오윤,유재신,김태완,정병곤,정현,로티노,박헌도,나바로,박해민,김헌곤,이흥련,김하성,스나이더,고종욱,이재원,이명기,김강민,박정권,브라운,정상호,정의윤,김성현,김연훈,김재현,박계현,박재상,조동화,최정,허웅,김재현,로메로,김동한,박건우,노진혁,최재원,테임즈,박민우,지석훈,나성범,이호준,김태군,김종호,김성욱,김준완,모창민,조평호,구자욱,김재현,박찬도,백상원,최선호,필,노수광,고영우,김호령,한승택,서상우,정성훈,박용택,오지환,유강남,문선재,양석환,이천웅,히메네스,김용의,안익훈,이병규,이형종,채은성,황목치승,대니돈,임병욱,강지광,김민준,김웅빈,윤진호,권희동,이상호,에반스,국해성,류지혁,스크럭스,이재율,정진기,이성우,로맥,김동엽,이홍구,조용호,최승준,김사훈,나종덕,황진수,번즈,신본기,김원중,김유영,나경민,박광열,신진호,박세혁,조수행,정진호,김진성,서예일,버나디나,김민식,김주형,샌즈,김혜성,이정후,유민상,최원준,황윤호,주효상,송성문,김규민,박정음,장영석,강경학,최진행,호잉,김태균,하주석,김회성,송광민,정근우,정은원,김민하,양성우,장진혁,지성준,허정협,박승욱,최항,강승호,한동민,백민기,이병휘,구본혁,정주현,페게로,김태진,스몰린스키,이원재,박지규,신민재,전민수,예진원,안상현,채현우,페르난데스,김인태,러셀,문찬종,박준태,전병우,라모스,홍창기,안권수,박경수,강백호,배정대,로하스,강민국,김민혁,문상철,송민섭,심우준,알테어,강진성,김찬형,안재석,박계범,박지훈,장승현,최용제,크레익,박주홍,변상권,신준우,조상우,문보경,문성주,이영빈,손호영,김호재,김지찬,피렐라,강한울,김민수,김성표,박승규,오선진,최영진,박찬호,소크라테스,이창진,황대인,알포드,오윤석,김휘집,임지열,푸이그,박찬혁,권동진,김준태,홍현빈,이재원,김시앙,전의산,추신수,라가레스,최지훈,오태곤,박성한,하재훈
타율,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기 수,2,15,6,6,14,6,16,26,2,14,16,1,2,1,8,2,22,20,22,68,26,8,49,8,9,35,1,2,1,3,6,7,7,29,10,13,7,7,7,10,22,4,2,4,5,18,4,29,8,25,9,44,33,1,1,8,7,15,13,8,7,4,1,1,3,38,10,45,7,9,3,5,2,2,1,7,1,54,2,1,12,11,33,1,10,3,10,9,6,11,19,43,26,29,43,44,21,32,1,2,2,12,13,12,12,14,1,2,28,2,10,10,11,29,17,2,4,52,1,9,3,66,9,10,6,5,72,42,19,7,5,36,56,7,39,16,1,1,10,7,32,64,31,65,12,1,1,28,1,6,4,5,76,31,6,96,15,1,33,2,6,38,106,19,13,1,33,12,12,15,52,9,13,28,7,14,7,1,2,27,7,10,35,3,4,47,2,18,12,5,18,6,31,1,5,6,86,2,6,2,12,2,54,5,6,23,17,3,1,1,17,7,14,1,1,1,3,13,13,28,69,1,1,59,6,28,18,6,27,45,17,75,83,22,44,60,1,2,89,1,51,49,4,29,22,26,7,12,15,12,8,2,54,1,1,2,15,88,29,10,14,36,75,31,1,2,2,20,11,11,19,11,19,9,11,30,4,9,7,5,6,4,2,57,1,24,33,12,33,14,12,13,6,1,1,19,5,1,26,18,43,63,44,70,9,8,8,45,13,19,1,13,16,53,23,8,50,10,14,15,28,35,2,2,14,8,7,4,8,13,11,16,8,6,32,4,16,19,13,19,15,1,10,13,20,1,11,1,1,1,19,1,12,5,3,51,18,3,12,30,25,30,21,23,10,25,30,21,1,6,2,5,2,1,2,6,4,6,6,9,8,18,19,22,8,19,18,10,16,8,1,14,25,5,3,14,2,1,19,8,22,14,10,4,18,10,8,8,7,15,9,1,12,1,1,2,2,5,13,1,1,2,4,5,36,24,14,1,2,6,9,4,21,34,30,1,1,1,9,34,19,12,5,3,2,8,3,4,4,2,5,4,1,2,3,2,3,8,7,20,18,2,4,11,9,5,12,1,3,1,5,1,4,4,1,27,8,1,1,5,13,3,10,7,13,14,14,4,3,9,6,10,13,6,6,1,5,10,6,1,3,2,1,2,6,1,7,7,3,1,1,2,2,1,1,2,1,1,2,1,1,1,1,6,5,12,10,13,1,4,3,4,3,1,2,4,4,4,4,4,2
타석,2,58,28,30,45,23,62,112,6,39,70,0,2,2,8,6,63,52,61,234,92,17,159,12,26,111,0,3,1,4,16,21,29,110,24,28,29,24,24,34,87,0,2,7,4,45,2,117,17,55,28,119,123,1,0,20,24,63,39,22,1,7,1,1,4,142,33,150,19,11,4,22,2,0,0,12,0,211,3,1,31,28,132,0,33,4,23,11,4,16,33,189,74,135,138,198,61,101,0,2,1,13,18,48,38,62,1,2,68,2,42,43,32,114,45,2,10,184,1,14,10,275,18,12,10,0,247,187,35,9,2,148,225,24,160,42,1,0,8,19,83,276,130,272,54,1,0,85,0,6,10,20,332,138,5,319,35,0,96,11,15,75,424,40,28,0,86,35,51,41,154,8,33,57,32,51,27,1,2,93,27,16,158,0,2,99,2,34,53,4,5,13,55,0,7,27,395,5,28,6,30,2,197,5,23,56,44,4,0,1,23,25,23,0,0,1,0,55,39,19,262,0,0,227,7,121,32,5,89,158,58,327,353,73,154,197,0,1,336,0,161,184,15,121,95,101,25,50,39,15,20,3,237,0,0,2,24,261,84,13,16,137,309,57,0,2,2,68,45,33,67,33,71,27,44,108,6,22,20,0,3,6,2,201,0,103,135,4,125,35,47,47,2,0,1,63,3,0,94,56,190,210,121,248,26,15,9,143,36,63,0,21,10,240,100,7,223,24,21,62,114,90,2,2,0,30,22,7,28,29,49,49,21,3,142,13,55,67,58,77,41,6,24,33,78,0,12,0,1,2,84,0,22,11,2,218,48,2,48,137,45,135,55,72,20,52,85,63,1,26,1,0,0,0,8,20,1,9,8,8,16,59,80,70,24,71,66,42,35,2,1,42,107,0,5,53,0,0,36,3,72,8,37,6,37,50,1,3,5,67,26,1,41,1,1,2,6,22,28,0,0,2,2,3,125,11,20,0,0,26,23,1,97,128,142,1,4,1,14,118,51,15,6,2,5,35,9,18,10,5,19,14,0,1,1,3,4,13,11,84,81,4,0,23,21,15,45,4,1,0,3,1,0,1,0,115,10,3,0,11,30,14,43,0,39,57,60,17,0,21,5,6,39,22,23,0,4,26,0,0,2,8,2,5,8,0,31,21,5,1,2,7,9,2,2,0,1,1,2,4,4,4,4,26,8,35,17,54,1,1,2,1,5,0,2,21,19,16,10,19,1
타수,2,53,25,28,36,21,56,97,6,34,56,0,1,2,6,5,56,44,53,206,75,14,135,11,24,99,0,3,1,4,10,20,28,100,20,26,27,24,21,27,72,0,2,6,4,36,2,103,16,46,24,109,106,1,0,14,20,58,35,18,1,6,1,1,4,123,28,134,16,10,4,21,1,0,0,11,0,188,2,1,28,24,122,0,28,3,21,10,4,12,28,166,65,114,108,177,54,89,0,2,1,10,15,38,23,51,1,2,58,2,36,41,31,99,42,2,10,168,1,12,10,222,18,10,9,0,214,158,28,8,1,132,199,23,133,39,1,0,6,18,73,227,113,248,45,1,0,74,0,5,7,20,277,116,4,270,29,0,91,10,14,65,372,38,26,0,76,29,37,35,123,7,30,53,29,49,25,1,2,84,24,15,138,0,2,84,2,29,44,4,5,10,47,0,7,25,327,3,22,6,26,2,169,5,20,45,38,4,0,1,20,22,21,0,0,1,0,42,33,14,203,0,0,203,7,96,28,4,82,138,53,282,306,63,133,170,0,1,277,0,134,160,13,106,85,82,24,48,37,14,19,3,207,0,0,2,23,218,74,11,15,124,263,53,0,2,2,61,40,27,62,28,61,23,36,86,6,19,18,0,3,5,2,169,0,95,117,3,105,24,40,38,2,0,1,49,3,0,75,55,166,182,108,212,26,13,6,124,28,56,0,15,9,210,94,6,185,16,17,57,100,76,2,2,0,27,16,5,27,24,43,47,18,3,125,12,50,64,52,65,34,6,19,32,60,0,11,0,1,2,63,0,18,11,2,190,40,2,44,124,39,124,48,58,17,46,71,56,1,22,1,0,0,0,7,18,1,8,8,8,16,50,61,65,17,66,49,40,32,2,1,37,94,0,5,45,0,0,31,3,60,7,34,6,30,43,1,3,5,63,24,1,33,0,1,2,6,21,27,0,0,1,1,3,104,9,16,0,0,22,19,1,81,116,127,1,4,1,12,105,48,12,6,2,5,32,7,18,10,5,17,12,0,1,1,1,4,11,10,69,66,4,0,21,18,14,40,3,1,0,1,1,0,1,0,106,9,3,0,10,26,11,37,0,29,49,55,15,0,21,4,5,37,21,23,0,4,25,0,0,2,8,2,5,8,0,27,19,5,1,2,5,9,2,2,0,0,0,2,4,4,4,4,23,5,29,17,47,1,1,2,1,3,0,2,17,17,15,9,17,1
안타,2,18,10,7,11,5,18,24,1,9,11,0,0,0,0,2,18,10,12,53,13,2,25,1,2,23,0,0,0,0,0,7,9,26,6,8,6,4,3,3,17,0,0,0,0,12,1,37,6,11,5,18,30,0,0,3,4,14,4,2,0,0,0,0,1,27,5,28,2,1,1,5,0,0,0,0,0,45,0,0,7,4,26,0,2,1,4,2,1,2,7,49,16,24,26,46,9,17,0,0,0,1,2,11,4,10,0,1,16,0,12,12,8,32,10,0,0,51,0,2,3,59,1,2,0,0,61,47,7,1,0,42,53,6,26,6,0,0,2,5,12,57,30,61,14,0,0,13,0,1,4,5,81,29,1,61,7,0,18,3,2,19,101,10,3,0,17,11,13,7,31,1,4,9,8,10,3,0,0,26,9,4,46,0,0,30,0,6,11,1,0,5,11,0,3,10,79,0,5,3,4,0,46,1,5,7,8,0,0,0,5,4,7,0,0,1,0,9,5,2,50,0,0,61,2,28,7,0,19,30,13,80,81,17,34,43,0,0,83,0,32,44,6,34,29,17,7,9,4,2,3,0,49,0,0,0,6,54,16,5,5,36,80,13,0,1,0,10,12,8,13,7,13,5,10,21,1,4,2,0,0,0,1,49,0,34,27,0,25,6,7,5,0,0,0,10,1,0,19,15,47,37,24,64,7,1,0,39,4,14,0,4,2,52,20,1,49,2,4,12,21,15,0,0,0,8,2,0,5,6,12,12,3,1,31,2,14,14,15,20,6,2,5,10,18,0,1,0,0,0,15,0,2,1,1,40,10,1,10,34,12,40,11,14,2,9,14,18,0,7,0,0,0,0,3,6,0,0,0,2,4,12,16,13,5,13,14,10,5,0,0,9,29,0,2,12,0,0,6,0,20,1,12,2,4,11,0,2,2,13,6,0,9,0,1,1,1,3,4,0,0,0,1,0,31,2,2,0,0,11,5,0,22,24,46,0,0,0,2,38,10,3,2,1,2,12,2,5,2,1,3,2,0,0,0,0,0,4,3,20,12,2,0,3,6,4,14,0,0,0,1,0,0,1,0,33,2,0,0,2,8,3,3,0,6,17,17,4,0,4,0,1,10,7,7,0,2,3,0,0,0,1,0,0,3,0,9,5,1,0,1,2,2,0,0,0,0,0,0,3,1,0,0,10,2,5,3,15,0,0,0,0,0,0,1,6,5,4,2,3,0
2루타,1,5,0,0,1,1,4,7,0,1,2,0,0,0,0,0,4,0,3,5,1,1,0,0,0,2,0,0,0,0,0,1,3,2,1,1,0,0,0,0,4,0,0,0,0,3,0,6,1,0,3,4,3,0,0,1,1,4,0,1,0,0,0,0,1,7,2,3,0,0,0,1,0,0,0,0,0,5,0,0,1,2,2,0,1,0,0,0,0,1,0,6,2,5,6,10,2,2,0,0,0,0,0,0,1,1,0,1,2,0,1,2,0,4,0,0,0,11,0,0,0,5,0,0,0,0,8,6,0,0,0,4,5,0,4,0,0,0,1,0,2,9,8,13,3,0,0,1,0,0,0,1,13,3,0,8,2,0,6,1,1,4,14,2,0,0,2,3,1,1,4,1,3,2,1,3,1,0,0,2,0,0,11,0,0,8,0,2,1,0,0,2,0,0,0,2,13,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,11,0,0,12,0,5,1,0,8,5,3,11,7,6,5,6,0,0,15,0,4,11,0,9,1,1,1,1,0,0,0,0,18,0,0,0,0,6,2,0,0,5,10,4,0,0,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,4,7,0,2,1,2,1,0,0,0,1,0,0,2,1,10,7,2,12,1,0,0,5,1,1,0,0,0,9,2,0,7,0,0,0,2,5,0,0,0,2,0,0,2,0,2,2,1,0,9,1,1,1,2,3,2,1,0,1,3,0,0,0,0,0,1,0,0,0,0,5,1,0,1,4,3,6,1,0,0,0,3,2,0,1,0,0,0,0,2,0,0,0,0,0,2,1,3,2,1,1,0,3,1,0,0,3,6,0,0,3,0,0,1,0,4,0,1,1,2,2,0,0,0,2,0,0,3,0,0,0,1,1,0,0,0,0,0,0,6,1,0,0,0,1,1,0,6,5,12,0,0,0,0,10,3,0,0,1,0,4,1,1,0,0,1,1,0,0,0,0,0,2,1,3,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
3루타,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
홈런,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,3,0,0,0,0,1,0,2,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,5,0,0,0,0,4,8,3,0,0,0,1,0,7,1,0,0,0,0,4,14,1,4,3,0,0,2,0,0,0,0,7,13,0,5,0,0,1,0,0,0,10,0,0,0,4,1,4,0,0,0,0,1,4,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,2,0,2,1,0,2,3,0,2,7,1,4,3,0,0,4,0,8,2,0,3,5,2,1,1,0,0,0,0,6,0,0,0,0,1,0,1,0,1,4,1,0,0,0,0,1,1,1,0,3,0,1,0,0,1,0,0,0,0,0,4,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,2,9,9,3,1,1,0,0,0,0,1,0,0,0,1,2,0,12,0,0,3,4,2,0,0,0,0,0,0,1,2,5,0,0,0,2,0,0,2,0,4,2,1,1,0,1,0,0,0,0,0,4,0,0,0,0,2,4,1,2,0,2,5,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,3,0,0,0,0,0,0,1,0,0,3,0,2,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0
